name,description,categories,Website,category,address,email,phone,zipcode,city,country
SeriousWatches,"We love watches! Based in the Netherlands. Serving the world.

Authorised dealer of: BOLDR, Edox, Junghans, Nethuns, NTH, OceanX, Orient, Raymond Weil, Spinnaker, Zelos and more.",Beauty en welzijn,https://www.seriouswatches.com,Beauty en welzijn,address,info@SeriousWatches.eu,+31(0)512-843797,,,Nederland
Auspiteurope,,Beauty en welzijn,http://auspiteurope.com,Beauty en welzijn,address,info@auspiteurope.com,0031 (0)70-2171730,2592 GK  ,Den Haag,Nederland
Way of Health,"Pick & mix de lekkerste protein bars, protein cookies & more!",Fitness- en voedingsservice,http://wayofhealth.nl,Beauty en welzijn,address,contact@wayofhealth.nl,,,,Nederland
MIISHA Eco Webshop,"Eco webshop met mooie en betaalbare items voor een duurzame leefstijl. Al onze kleding, accessoires, woonaccessoires, keuken benodigdheden en persoonlijke verzorging zijn natuurlijk, herbruikbaar en/of duurzaam.",Gezondheids- en schoonheidsartikelen winkel,http://www.miisha.nl,Beauty en welzijn,address,info@miisha.nl,,1018XE,Amsterdam,Nederland
Exclusively,"Op  Exclusively.nl vindt u een groot aanbod exclusieve verzorgingsproducten. Bekijk de bekende merken als Lady Speed Stick, Secret, St. Ives en Neutrogena.",Beauty en welzijn,https://www.exclusively.nl,Beauty en welzijn,address,contact@exclusively.nl, 024 845 3932,6581 NJ,Malden,Nederland
Haru Haru Beauty (for your daily K-beauty fix),"Get the best Korean skincare and cosmetics directly in the Netherlands, Belgium and Germany. Shop online and offline in Rotterdam and Amsterdam, the Netherlands...",Cosmetica winkel,http://www.haruharubeauty.com,Beauty en welzijn,address,info@haruharubeauty.com,0107370315,3012JB,Rotterdam,Nederland
Maximeslifestyle,"Ons doel is om zoveel mogelijk mensen te helpen door kwalitatieve voedingssupplementen aan te bieden voor een eerlijke prijs. De voedingssupplementen die wij verkopen zijn zo samengesteld dat ze in elke levensstijl passen: geen toevoegde suikers, kleurstoffen of andere vulmiddelen. Oftewel: voedingssupplementen voor iedere levensstijl om maximale resultaten te behalen.",Fitness- en voedingsservice,http://maximeslifestyle.com,Beauty en welzijn,address,info@maximeslifestyle.com,,,,Nederland
Drogisterij Van der Pigge,U zoekt het beste advies op voeding(supplementen) en lifestyle gebied? Dan bent u bij ons aan het juiste adres. Onze specialisten adviseren u graag.,Vitamine- en supplementenwinkel,http://vanderpigge.nl,Beauty en welzijn,address,info@vanderpigge.nl,023-5312454,2011 GA,Haarlem,Nederland
Meesterslijpers,"Ben je op zoek naar een kook- en kadowinkel in Amsterdam en online? Dan ben je bij ons aan het juiste adres en profiteer je altijd van de beste aanbiedingen en leukste producten op kookgebied. Want zoals onze naam vast doet vermoeden, zijn we niet alleen een professionele slijperij, maar ook een uitgebreide kookwinkel. 

Tevens kun je bij ons terecht voor het uniek maken van producten. Zo hebben wen onder andere een lasergraveermachine waarmee we in hout, glas, leer, kunststof en meer kunnen graveren. Dit allemaal klaar terwijl je wacht!",Kookwinkel,https://www.meesterslijpers.nl,Beauty en welzijn,address,info@meesterslijpers.nl,020-6122824,1053ES,Amsterdam,Nederland
Pit&Pit,"Onze droom is dat jij kan genieten van krachtige en smaakvolle voeding.
Gezond genieten is ons motto! Wij willen dat je steeds alle producten vindt die jij nodig hebt. Unieke kruiden, heerlijke smaken, boordevol werkzame stoffen... Voor elk wat wils! Ons doel is dat iedereen kan genieten van het leven, zowel door heerlijk smakende voeding en kruiden als door gezonde producten.",Fitness- en voedingsservice,http://www.pit-pit.com,Beauty en welzijn,address,help@pit-pit.com,,,Hoogstraten,België
YaoSkin,"Feel good about yourself and your skin with safe, effective and nutritious skincare. Feel free to ask us for any advice.",Cosmetica winkel,http://yaoskin.com,Beauty en welzijn,address,info@yaoskin.com,,,Rotterdam,Nederland
