name,description,categories,Website,category,address,email,phone,zipcode,city,country
Auspiteurope,,Beauty en welzijn,http://auspiteurope.com,Beauty en welzijn,address,info@auspiteurope.com,0031 (0)70-2171730,2592 GK  ,Den Haag,Nederland
Boloo,De product research tool voor bol.com,E-commerceplatform,https://boloo.co,Zakelijke diensten,address,info@boloo.co,0850020029,2675 SV,Honselersdijk,Nederland
Flashbay,"<p>Hier bij Flashbay zijn we een van 's werelds toonaangevende leveranciers van USB Flash Drives, Powerbanks, Audio-producten, Gadgets en Tech Gift Sets. We bieden onverslaanbare prijzen in combinatie met snelle en efficiënte service aan kleine, middelgrote en grote organisaties over de hele wereld.</p>

<p>Wij hebben een breed assortiment aan geheugencapaciteiten en bieden verschillende personaliseringsmogelijkheden aan.</p> 

<p>Tijdens dit proces is er onze oprechte toewijding aan het milieu door het gebruik van gerecyclede materialen. Vol trots kunnen wij mededelen dat wij in 2008 in zowel de fabriek van Flashbay als ons kantoor in het Verenigd Koninkrijk hiermee onze 'carbon neutral' status hebben verdiend.</p>

<div class=""divider""></div>

<h4>Waarom Flashbay?</h4>
<ul class=""bullet-points""><strong>
<li><a href=""http://www.flashbay.nl/waarom_flashbay"">Snelste Levertijd</a><br /></li>
<li><a href=""http://www.flashbay.nl/waarom_flashbay"">Gratis Samples (de volgende dag)</a><br /></li>
<li><a href=""http://www.flashbay.nl/formulier"">Direct Een Offerte (binnen 15 min.)</a><br /></li>
<li><a href=""http://www.flashbay.nl/waarom_flashbay"">Fabrieksprijzen</a><br /></li>
<li><a href=""http://www.flashbay.nl/waarom_flashbay"">10 Stuks Minimale Afname</a><br /></li>
<li><a href=""http://www.flashbay.nl/waarom_flashbay"">Eigen Fabriek</a><br /></li>
<li><a href=""http://www.flashbay.nl/waarom_flashbay"">ISO 9001:2015 Gecertificeerd</a><br /></li>
<li><a href=""http://www.flashbay.nl/waarom_flashbay"">10 Jaar Garantie</a><br /></li>
</strong></ul>
<div class=""divider""></div>
<br />
<a href=""http://www.flashbay.nl"" target=""_blank"" title=""Offerte"" style=""background:#00b67a;color:#FFF;padding:10px 20px;text-decoration:none!important;"">Offerte</a>",Promotieartikelenwinkel,http://www.flashbay.nl,Zakelijke diensten,address,contact@flashbay.com,,,Amsterdam,Nederland
WP Overnight,Quality WordPress & WooCommerce plugins,E-commerceplatform,https://wpovernight.com,Zakelijke diensten,address,support@wpovernight.com,,,Rotterdam,Nederland
Huurverhuislift.nl,"Huurverhuislift.nl het bedrijf dat zich specialiseert met de verhuur van bemande verhuisliften.
Op al onze verhuisliften zit een ervaren en meewerkend verhuizer.
Wij zijn absoluut de nummer 1 met volledige assistentie van de werkzaamheden.

Wij zijn er voor bedrijven en particulieren. ",Rederij,http://www.Huurverhuislift.nl,Zakelijke diensten,address,info@huurverhuislift.nl,088-6185300,1046 AB,Amsterdam,Nederland
Way of Health,"Pick & mix de lekkerste protein bars, protein cookies & more!",Fitness- en voedingsservice,http://wayofhealth.nl,Beauty en welzijn,address,contact@wayofhealth.nl,,,,Nederland
MIISHA Eco Webshop,"Eco webshop met mooie en betaalbare items voor een duurzame leefstijl. Al onze kleding, accessoires, woonaccessoires, keuken benodigdheden en persoonlijke verzorging zijn natuurlijk, herbruikbaar en/of duurzaam.",Gezondheids- en schoonheidsartikelen winkel,http://www.miisha.nl,Beauty en welzijn,address,info@miisha.nl,,1018XE,Amsterdam,Nederland
Exclusively,"Op  Exclusively.nl vindt u een groot aanbod exclusieve verzorgingsproducten. Bekijk de bekende merken als Lady Speed Stick, Secret, St. Ives en Neutrogena.",Beauty en welzijn,https://www.exclusively.nl,Beauty en welzijn,address,contact@exclusively.nl, 024 845 3932,6581 NJ,Malden,Nederland
Haru Haru Beauty (for your daily K-beauty fix),"Get the best Korean skincare and cosmetics directly in the Netherlands, Belgium and Germany. Shop online and offline in Rotterdam and Amsterdam, the Netherlands...",Cosmetica winkel,http://www.haruharubeauty.com,Beauty en welzijn,address,info@haruharubeauty.com,0107370315,3012JB,Rotterdam,Nederland
Maximeslifestyle,"Ons doel is om zoveel mogelijk mensen te helpen door kwalitatieve voedingssupplementen aan te bieden voor een eerlijke prijs. De voedingssupplementen die wij verkopen zijn zo samengesteld dat ze in elke levensstijl passen: geen toevoegde suikers, kleurstoffen of andere vulmiddelen. Oftewel: voedingssupplementen voor iedere levensstijl om maximale resultaten te behalen.",Fitness- en voedingsservice,http://maximeslifestyle.com,Beauty en welzijn,address,info@maximeslifestyle.com,,,,Nederland
