name,description,categories,Website,category,address,email,phone,zipcode,city,country
SeriousWatches,"We love watches! Based in the Netherlands. Serving the world.

Authorised dealer of: BOLDR, Edox, Junghans, Nethuns, NTH, OceanX, Orient, Raymond Weil, Spinnaker, Zelos and more.",Beauty en welzijn,https://www.seriouswatches.com,Beauty en welzijn,address,info@SeriousWatches.eu,+31(0)512-843797,,,Nederland
Curlsshop,"Curls shop verkoopt natural haar producten voor krullend,kroes, stijl en golvend haar voor een hele scherpe prijs. Ook verkopen wij make up en haar accessoires. Wij verkopen veel merken en bieden een uitgebreid assortiment.",Haarproductenwinkel,https://curlsshop.nl,Beauty en welzijn,address,,,,,Nederland
VitaminFit,"VitaminFit wilt bijdragen aan een gezonde levensstijl met 100% plantaardige voedingssupplementen, zonder toevoegingen. De vitamines zijn vloeibaar ontwikkeld op basis van 100% natuurlijke planten- en kruidenextracten met een hoog gehalte aan werkzame stoffen, zonder gluten, lactose of toegevoegde suikers. De vloeibare extracten worden daardoor zeer goed opgenomen door het lichaam. Ideaal in te nemen door voeding, een drankje, of puur op een lepeltje. Met tientallen producten biedt VitaminFit ondersteuning aan de gezondheid voor het hele gezin.",Vitamine- en supplementenwinkel,http://vitaminfit.eu,Beauty en welzijn,address,,,,,Nederland
You Madu,"You Madu is pionier op gebied van arganolie, ruim 10 jaar. Arganolie is te gebruiken voor het gezicht, haar en lichaam. Ook bieden we natuurlijke en biologische verzorgingsproducten  van geselecteerde leveranciers uit heel Europa. Daarnaast leveren we de top op het gebied van culinaire oliën, zoals pompoenpitolie, culinaire argan olie, en kokosolie. U bestelt via een veilige on-line webwinkel",Fitness- en voedingsservice,https://www.youmadu.nl,Beauty en welzijn,address,hall@youmadu.nl,,3202,Aarschot,België
Morgen is Nu,"Bij Morgen is Nu zijn we al sinds 1972 bezig met het vergaren van kennis en inzicht over een natuurlijke levenswijze en het zoeken en aanbieden van unieke producten die daarbij horen. Inmiddels zijn veel producten die we toen verkochten mainstream geworden, maar blijft Morgen is Nu zich innoveren met producten die altijd een stapje verder gaan en waar we met hart en ziel achter staan. In ieder product dat wij verkopen ligt dat stukje hart en ziel. Wij zoeken en gebruiken de producten zelf, hebben direct contact met iedere leverancier en gaan altijd na wat de oorsprong is van de ingrediënten. Zo garanderen wij jou de gezondste producten om elke dag weer het maximale uit je leven te halen.",Vitamine- en supplementenwinkel,https://morgenisnu.nl,Beauty en welzijn,address,info@morgenisnu.nl,+31 341 422 850,3846 BX,Harderwijk,Nederland
BALDFORCE®,DEFEND YOUR SCALP AGAINST ALL FOES,Cosmetische producten leverancier,http://baldforce.com,Beauty en welzijn,address,info@baldforce.com,,8042PJ,Zwolle,Nederland
Beauty Junkies,"Beauty Junkies Store is opgezet door Beauty Junkies in Hengelo. Bekroond als beste schoonheidssalon van Nederland (2016) en beste schoonheidsspecialiste van Nederland (2019). Wij werken dagelijks met de producten die we verkopen en staan 100% achter de werking ervan. 

Wij onderscheiden ons in het geven van adviezen op het gebied van huidverbetering. Heb je een vraag bel, mail of Whatsapp ons. We helpen je graag verder.",Schoonheidssalon,http://www.beautyjunkiesstore.nl,Beauty en welzijn,address,hello@beautyjunkiesstore.nl,074-2916363,7551DC,Hengelo,Nederland
susneco.nl,"Sus n Eco is een webshop gericht op natuurlijke, duurzame en vaak biologische (verzorgings) producten. Low waste (verzorgings)producten maar ook veilige kinder make-up, nagellak, knutsel spullen of schmink. ",Beauty en welzijn,http://susneco.nl,Beauty en welzijn,address,info@susneco.nl,,,Gouda,Nederland
Vitaminstore,"Vitaminstore is sinds 1998 de gezondste retailer van Nederland. Met een professioneel team met een achtergrond in sportvoeding, voedingssupplementen en natuurlijke cosmetica probeert Vitaminstore haar klanten altijd een eerlijk en bewust advies te geven omtrent hun voeding en uiterlijke verzorging.",Vitamine- en supplementenwinkel,https://www.vitaminstore.nl,Beauty en welzijn,address,klantenservice@vitaminstore.nl,020-3034212,1067TL,Amsterdam,Nederland
Foodie.nl,"❤️ Boost je gezondheid met zorgvuldig gekozen suppletie
<br>🚌 Gratis verzending
<br>💶 60 Dagen Niet Goed Geld Terug Garantie",Vitamine- en supplementenwinkel,https://foodie.nl,Beauty en welzijn,address,klantenservice@foodie.nl,(0)76-5620259,5708 HN Helmond,Helmond,Nederland
NewFysic,"NewFysic is een gezonde, verantwoorde én effectieve afslankmethode die past bij iedere levensstijl. Samen met een team van deskundigen ga je aan de slag om je streefgewicht te bereiken en te behouden.",Centrum voor gewichtsbeheersing,http://newfysic.nl,Beauty en welzijn,address,info@newfysic.nl,0883230001,1185 ZS,Amstelveen,Nederland
Chiacharge.nl,"Real food! Flapjacks, protein bars, nut butters, karma bars, seeds, granola....",Fitness- en voedingsservice,http://chiacharge.nl,Beauty en welzijn,address,ron@chiacharge.nl,+31625034408,1992BW,Velserbroek,Nederland
Seductionail,Nailsalon | Acadamy | Gelpolish brand | Nail supply ,Nagelstudio,http://seductionail.com,Beauty en welzijn,address,info@seductionail.com,0617962380,2681 HN ,Monster,Nederland
YlONN,"(NL) Behandelt en voorkomt rode bultjes, ingegroeide haartjes, en jeuk na ontharen.
(DE) Hilft bei roten Pickelchen eingewachsenen Haaren und Juckreiz nach der Enthaarung.",Wellnesscentrum,https://www.yionn.com,Beauty en welzijn,address,support@yionn.com,+31 (0) 85 876 90 37,4871CC,Etten-Leur,Nederland
Patser,Patser is gericht op iedereen die streeft naar een gezondere en betere levensstijl. Een gezondere levensstijl betekent het beste van alles hebben. Onze missie is het leveren van hoogwaardige en eerlijke supplementen voor een gezondere levensstijl. Dat is ons doel en we willen dit op een verantwoorde & duurzame manier vervullen. Al onze grondstoffen zijn dan ook in het laboratorium getest om de hoogste kwaliteit en maximale effectiviteit te garanderen. ,Fitness- en voedingsservice,http://patser.life,Beauty en welzijn,address,info@patser.life,,6921RZ,Duiven,Nederland
Rio Rosa Mosqueta,"Een huidverzorgingslijn die 100% natuurlijke, biologische en vegan ingrediënten bevat zoals arganolie, avocado, calendula en rozenbottelolie. Je huid intensief verzorgt, zonder dat je huid daar strak of gespannen van aanvoelt. Geschikt voor de gevoelige huid.  Zonder parabenen, SLS en dierproefvrij!",Huidverzorgingskliniek,http://riorosa.nl,Beauty en welzijn,address,info@riorosa.nl,0341462146,3843 AN,Harderwijk,Nederland
